NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
1;038025T01002;778-006 (BIFFI);6;;;1;;;10;NC
2;038025T01008;778-006 (BIFFI);6;;;1;;;10;NC
3;038025T01002;778-006 (BIFFI);6;;;1;;;10;NC
4;;;;;;;;;0;NC
5;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
6;;B1CU;9;;;0;8-5 BARS MAX;DOUBLE;25;VALMET METSO
7;;796-012;12;;;1;5-5 BARS MAX;DOUBLE;10;NC
8;;Régulactair ;;;;;;DOUBLE;2;NC
9;R1014;Régulactair 31C;;;;;3-6 BARS MAX;DOUBLE;2;NC
10;R567;Régulactair 31C;31 C;;;1;12 BARS MAX;DOUBLE;2;NC
11;OF171005;VERIN;;FMA;;0;6 BARS MAX;DOUBLE;24;NC
12;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
13;9974049364;ACTAIR 12;12;FMA;;0;8 BARS MAX;DOUBLE;2;AMTROBOX
14;9974049364;ACTAIR 12;12;FMA;;0;8 BARS MAX;DOUBLE;2;AMTROBOX
15;9974049364;ACTAIR 12;12;FMA;;0;8 BARS MAX;DOUBLE;2;AMTROBOX
16;J01A21490536;B1CU 17/55;17/55;;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;QN2NK05HDM
17;J01A21340327;B1CU 20/70;20/70;;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;QN2NK05HDM
18;F-13-218582-003-01;CAMFLEX II;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
19;F-13-218582-001-01;CAMFLEX II;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
20;F-13-218582-002-01;CAMFLEX II;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
21;18582858;PremiAir;25;;;1;6 BARS MAX;DOUBLE;10;NC
22;529016;PremiAir;25;;;1;6 BARS MAX;DOUBLE;10;NC
23;718091;PremiAir;25;;;;0 BARS MAX;DOUBLE;10;NC
24;718093;PremiAir;25;;;;0 BARS MAX;DOUBLE;10;NC
25;;VERIN;;;;;0 BARS MAX;;0;NC
26;;ACTAIR 25;25;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
27;854968;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
28;860112;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
29;850078;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
30;860123;F79E;24;;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;NC
