TYPE CORPS;N° DE SERIE CORPS;DN;PN;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES;FOURNISSEUR CORPS;NUM CORPS
FIG 320-112 BODY-DI;;50;ANSI 150;;;7,78006237E+208;;EPDM collé;;;;;10;1
FIG 320-112 BODY-DI;;50;ANSI 150;;;7,78006237E+208;;EPDM collé;;;;;10;2
FIG 320-112 BODY-DI;;50;ANSI 150;;;7,78006237E+208;;EPDM collé;;;;;10;3
;;100;10;;;;;;;;;;;4
VANNE PELLE;;150;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;5
L12A;;100;10;;;;;INCOLOY825;INOX 316SS;CF8M;;;25;6
FIG 14 102;;100;10;;;;;EPDM;INOX;GG 25;;JOINT A LEVRES;10;7
GAMMA;;200;10;;;3T 6P 6 XA;;XA;INOX;FONTE GG25;;;2;8
Gamma;;250;10;;;;;EPDM CB;INOX;FONTE;;Joint torique;2;9
Gamma;;100;10;;;V711 3T 6P 6X;;;;;;;2;10
VANNE PELLE;;150;10;X;;;INOX;JOINT NITRITE;INOX 316;INOX;TRESSE PTFE;;24;11
VANNE PELLE;;150;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;12
ISORIA 10;;125;10;;ISO PN10;3G 6K 6 CB;;;INOX;FONTE;;;2;13
ISORIA 10;;125;10;;ISO PN10;3G 6K 6 CB;;;INOX;FONTE;;;2;14
ISORIA 10;;200;10;;ISO PN10;3G 6K 6 CB;;;INOX;FONTE;;;2;15
L12A350AA;J4005692579,02;350;25;;;;INOX;INCOLOY825;316SS;;;;25;16
L12A400AA;J4005710501,03;400;25;;;;Inox;INCOLOY825;316SS;;;;25;17
;;50;10;53;;;;STEL n°6;ANSI 316;;;;18;18
;;80;10;145;;;;ANSI 316 L STEL;ANSI 316;;;;18;19
;;50;10;53;;;;STEL n°6;ANSI 316;;;;18;20
