NUM POSITIONNEUR;N° DE SERIE;SIGNAL ENTREE;REPERE CAME;FACE CAME;ACTION;FERMEE A;OUVERTE A;FOURNISSEUR POSITIONNEUR;technologie;LOI;PRES. ALIM.;type positionneur;SIGNAL SORTIE
320;62-153001-2;0,48 - 1,03 bar;;;;;;0;4;;1,4 bar;8013;4 - 20 mA
492;;;;;DIRECT;;;0;2;;;ND9102HN/I56;
512;;;;;DIRECT;;;0;2;;;ND9106HN/I56;
519;PH22080435;4-20 mA;;;DIRECT;4 mA;20 mA;0;6;Linéaire;8,5 bars max;ND9103HN/I56;
401;2002-7075;4 - 20 mA;;;;;;0;4;;120 PSI max;370300-60/70P;
501;;;;;;;;0;8;;;;0,48 - 1,03 bar
660;63 541 504-1;4 - 20 mA;1;;DIRECT;20 mA;4 mA;0;4;linéaire;1,4 bar;8013-357;0,48 - 1,03 bar
8;;0,2 - 1 bar;;;;1 bar;0,2 bar;2;7;linéaire;;Régulactair;
9;;0,2 - 1 bar;3;;DIRECT;0,2 bar;1 bar;2;7;Linéaire;3 à 6 bar;;
10;;0,6 - 1 bar;;;DIRECT;12 mA;20 mA;2;7;Split Range;12 bar max;;
18;51-51516159;4 - 20 mA;5;;;4 mA;20 mA;2;3;Linéaire;;8013-255;
56;;;;;;;;2;8;;;;
62;PH16140665;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;linéaire;8 bar max;ND 9102 HN/I56;
64;PH16480331;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;8 bar max;ND 9102 HN/I56;
104;PH10150301;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;1,4 à 8 bar;ND 9102HN;
109;PH10150304;4 - 20 mA;;;;4 mA;20 mA;2;6;Linéaire;;ND 9102 HN/I56;
110;;;;;;;;2;8;;;;
111;;;;;;;;2;8;;;;
144;PH13020394;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;8 bar max;ND 9103 HN/I56;
153;PH14070029;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;1,7 bar;ND 9103 HN/I56;
159;88092764-5175459/0033;;;;;;;2;4;;;EPOSE 1435;
160;88092764-5175459/0027;;;;;;;2;4;;;EPOSE 1435;
184;;;;;;;;2;8;;;;
185;;;;;;;;2;8;;;;
186;;;;;;;;2;8;;;;
223;;;;;;;;2;7;;;;
230;;;;;;;;2;8;;;;
232;;0,2 - 1 bar;;;;;;2;7;Linéaire;;;
234;;;;;;;;2;7;Linéaire;;;
236;;;;;;0,2 bar;1 bar;2;7;;;;
238;;0,2 - 1 bar;;;;0,2 bar;1 bar;2;7;Linéaire;;;
240;;0,2 - 1 bar;;;;;;2;7;Linéaire;;;
247;;;;;;;;2;8;;;;
248;;0,2 - 1 bar;3;;DIRECT;0,2 bar;1 bar;2;7;Linéaire;;;
250;;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;2;7;Linéaire;;;
285;;;;;;;;2;8;;;;
303;;0,2 - 1 bar;N°1;;DIRECT;0,2 bar;1 bar;2;7;Proportionnelle;;;
312;PH19200033;4-20 mA;;;DIRECT;0,2 bar;1 bar;2;5;Linéaire;3,5 B;ND9106;
316;64-2111-01-02;0,2 - 1 bar;2;;DIRECT;0,2 bar;1 bar;2;7;Egal pourcentage;1,4 bar;4600;0,48 - 1,03 bar
335;63 541502-1;4 - 20 mA;8;;DIRECT;4 mA;20 mA;2;4;Egal pourcentage;1,4 bar;8013-357;0,48 - 1,03 bar
378;;;;;;;;2;8;;;;
380;;;;;;;;2;8;;;;
418;PH12120748;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;8 bar max;ND 9103 HN;
430;PH02390584;4 - 20 mA;;;DIRECT;4 mA;20 mA;2;6;Linéaire;8 bar max;ND 826/S1A;
436;;;;;;;;2;8;;;;
440;;;;;;;;2;8;;;;
441;;;;;;;;2;8;;;;
443;;;;;;;;2;8;;;;
445;;;;;;;;2;8;;;;
447;;;;;;;;2;8;;;;
449;;;;;;;;2;8;;;;
450;;;;;;;;2;8;;;;
454;;;;;;;;2;8;;;;
465;;;;;;;;2;8;;;;
498;;0,2 - 1 bar;;;INVERSE;1 bar;0,2 bar;2;7;;;;
500;;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;2;7;Linéaire;3 bar;;
514;;0,2 - 1 bar;N°1;;DIRECT;0,2 bar;1 bar;2;7;Proportionnelle;3 à 12 bar;Régulactair;
543;;;;;;;;2;8;;;;
572;;;;;;;;2;8;;;;
658;;;;;;;;2;4;;1,4 bar;8013;0,48 - 1,03 bar
663;;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;2;7;Linéaire;1.8 bar;Micro Pack;207 - 1034 mbar
679;62-873410-1;4 - 20 mA;1;;DIRECT;4 mA;20 mA;2;4;Linéaire;1,4 bar;8013;0,43 - 1,03 bar
712;;;;;;0,2 bar;1 bar;2;7;Linéaire;;;0,2-1bar
730;;;;;;;;2;8;;;;
265;312208;4 - 20 mA;;;DIRECT;4 mA;20 mA;4;6;Linéaire;1,4 à 7 bar;C330;
322;510311;4 - 20 mA;;;;;;4;6;;1,4 à 7 bar;C330 LSNX201S;
323;127285;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;4;7;Linéaire;7 bar max;PMV 1500;
343;A1807526;0,2 - 1 BAR;65° 0-100;;DIRECT;0,2 bar;1 bar;4;7;Lineaire;7 BAR MAX;STI;
