NUM ACTIONNNEUR;FOURNISSEUR ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;N° DE SERIE ACTIONNEUR;SENS OMA;SENS FMA;TYPE CONTACTS;CONTACT OUVERTURE;CONTACT FERMETURE;CDE MANU. OUI;CDE MANU. NON;PRES. ALIM;SIMPLE EFFET;DOUBLE EFFET
1;EMERSON;778-006 (BIFFI);006;038025T01002;;;;;;X;;;;
2;EMERSON;778-006 (BIFFI);006;038025T01008;;;;;;X;;;;
3;EMERSON;778-006 (BIFFI);006;038025T01002;;;;;;X;;;;
4;;;;;;;;;;;;;;
5;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
6;VALMET METSO;B1CU;9;0;0;;VALMET METSO;x;x;0;x;8,5 bar maxi;0;x
7;EMERSON;796-012;012;0;0;0;0;0;0;X;;5,5 bar max;0;X
8;AMRI KSB;Régulactair ;;;;;;;;;;;;X
9;AMRI KSB;Régulactair 31C;;R1014;;;;;;;;3 - 6 bar;;X
10;AMRI KSB;Régulactair 31C;31 C;R567;0;0;0;0;0;X;0;12 bar max;0;X
11;TECOFI;VERIN;0;OF171005;0;X;X;0;0;0;X;6 BARS;0;X
12;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
13;AMRI KSB;ACTAIR 12;12;9974049364;0;X;AMTROBOX;x;x;0;X;8 bars maxi;0;X
14;AMRI KSB;ACTAIR 12;12;9974049364;0;X;AMTROBOX;x;x;0;X;8 bars maxi;0;X
15;AMRI KSB;ACTAIR 12;12;9974049364;0;X;AMTROBOX;x;x;0;X;8 bars maxi;0;X
16;VALMET METSO;B1CU 17/55;17/55;J01A21490536;0;0;QN2NK05HDM;X;X;0;x;8,5 Bars;0;x
17;VALMET METSO;B1CU 20/70;20/70;J01A21340327;0;0;QN2NK05HDM;X;X;0;X;8,5 Bars;0;x
18;MASONEILAN;CAMFLEX II;0;F-13-218582-003-01;0;X;0;0;0;0;;1,4 bar max;X;
19;MASONEILAN;CAMFLEX II;0;F-13-218582-001-01;0;X;0;0;0;0;;1,4 bar max;X;0
20;MASONEILAN;CAMFLEX II;0;F-13-218582-002-01;0;X;0;0;0;0;;1,4 bar max;X;
21;EMERSON;PremiAir;025;18582858;0;0;0;0;0;X;;6 bar max;0;X
22;EMERSON;PremiAir;025;529016;0;0;0;0;0;X;;6 bar max;0;X
23;EMERSON;PremiAir;025;718091;0;0;0;0;0;0;;0;0;X
24;EMERSON;PremiAir;025;718093;0;0;0;0;0;0;;0;0;X
25;0;VERIN;0;0;0;0;0;0;0;0;0;0;0;0
26;AMRI KSB;ACTAIR 25;25;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
27;EMERSON;F79E;024;854968;;;;X;X;;X;8 bar max;;X
28;EMERSON;F79E;024;860112;;;;X;X;;X;8 bar max;;X
29;EMERSON;F79E;024;850078;;;;X;X;;X;8 bar max;;X
30;EMERSON;F79E ;024;860123;0;0;0;X;X;X;;8 bar max;0;X
31;EMERSON;F89E-009 DA;009;0121014;0;0;AVID ZR IFM IS5026;X;X;0;X;8,3 bars max;0;X
