NUM CORPS;FOURNISSEUR CORPS;TYPE CORPS;DN;PN;N° DE SERIE CORPS;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES
1;EMERSON;FIG 320-112 BODY-DI;50;ANSI 150;;;;778006237E00200;;EPDM collé;;;;
2;EMERSON;FIG 320-112 BODY-DI;50;ANSI 150;;;;778006237E00200;;EPDM collé;;;;
3;EMERSON;FIG 320-112 BODY-DI;50;ANSI 150;;;;778006237E00200;;EPDM collé;;;;
4;;;100;10;;;;;;;;;;
5;TECOFI;VANNE PELLE;150;10;0;0;0;0;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400
6;VALMET METSO;L12A;100;10;0;0;0;0;0;INCOLOY825;INOX 316SS;CF8M;0;0
7;EMERSON;FIG 14 102;100;10;0;0;0;0;0;EPDM;INOX;GG 25;;JOINT A LEVRES
8;AMRI KSB;GAMMA;200;10;;;;3T 6P 6 XA;;XA;INOX;FONTE GG25;;
9;AMRI KSB;Gamma;250;10;;;;;;EPDM CB;INOX;FONTE;;Joint torique
10;AMRI KSB;Gamma;100;10;0;0;0;V711 3T 6P 6X;0;0;0;0;0;0
11;TECOFI;VANNE PELLE;150;10;X;X;0;0;INOX;JOINT NITRITE;INOX 316;INOX;TRESSE PTFE;0
12;TECOFI;VANNE PELLE;150;10;0;0;0;0;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400
13;AMRI KSB;ISORIA 10;125;10;0;0;ISO PN10;3G 6K 6 CB;0;0;INOX;FONTE;0;
14;AMRI KSB;ISORIA 10;125;10;0;0;ISO PN10;3G 6K 6 CB;0;0;INOX;FONTE;0;
15;AMRI KSB;ISORIA 10;200;10;0;0;ISO PN10;3G 6K 6 CB;0;0;INOX;FONTE;0;
16;VALMET METSO;L12A350AA;350;25;J4005692579,02;0;0;0;INOX;INCOLOY825;316SS;0;0;0
17;VALMET METSO;L12A400AA;400;25;J4005710501,03;0;0;0;Inox;INCOLOY825;316SS;0;0;0
18;MASONEILAN;;50;10;;53;0;;0;STEL n°6;ANSI 316;0;0;0
19;MASONEILAN;0;80;10;0;145;0;0;0;ANSI 316 L STEL;ANSI 316;0;0;0
20;MASONEILAN;0;50;10;;53;0;;0;STEL n°6;ANSI 316;0;0;0
21;EMERSON;OPTISEAL FIG 14-102;150;10;0;0;0;0;0;0;Inox;JL 250;;JOINT A LEVRES
22;EMERSON;OPTISEAL FIG 14-102;150;10;0;0;0;0;0;0;0;0;0;0
23;EMERSON;OPTISEAL FIG 14-102;150;10;16/4235446;0;0;0;0;EPDM;0;FONTE;Joint à lèvre;0
24;EMERSON;OPTISEAL FIG 14-102;150;10;16/4235446;0;0;PRA02501XX0PM00;0;EPDM;0;FONTE;Joint à lèvre;0
25;0;0;200;10;0;0;0;0;0;0;PELLE;0;0;0
26;AMRI KSB;DANAIS 150;200;10;0;0;0;66E 6F B2B;0;0;CF8M;CF8M;0;0
27;EMERSON;FIG 14 102;150;10;;;;;INOX;EPDM;INOX;GJL-250;;
28;EMERSON;FIG 14 102;150;10;;;;;INOX;EPDM;INOX;GJL-250;;
29;EMERSON;FIG 14 102;150;10;;;;;INOX;EPDM;INOX;GJL-250;;
30;EMERSON;FIG 14 102;150;10;0;0;0;0;INOX;EPDM;INOX;GJL-250;0;0
31;EMERSON;OPTISEAL FIG 14-102;100;10;17/4414522;0;0;0;0;0;0;GJ 250;Joint à lèvre;0
32;EMERSON;OPTISEAL FIG 14-102;100;10;17/4414395;;;;;;;GJ 250;Joint à lèvre;
33;AMRI KSB;ISORIA 10;100;10;76140045/0110;;;2 M14 3G 6K6 XV;;XV;;;;
34;EMERSON;OPTISEAL FIG 14-102;100;10;17/4414522;0;0;0;0;0;0;GJ 250;Joint à lèvre;0
35;EMERSON;OPTISEAL FIG 14-102;100;10;17/4414309;;;;;;;GJ 250;Joint à lèvre;
36;AMRI KSB;DANAIS 150;200;10;0;0;0;16E 6FB;0;0;CF8M;FONTE;GRAPHITE;
37;AMRI KSB;DANAIS 150;200;10;;;;;;;;FONTE;;
38;AMRI KSB;DANAIS 150;200;10;;0;0;16E 6FB;0;;INOX;Fonte;;0
