NUM POSITIONNEUR;FOURNISSEUR POSITIONNEUR;INTELLIGENT;ELECTRIQUE;PNEUMATIQUE;type positionneur;N° DE SERIE;SIGNAL ENTREE;PRES. ALIM.;SIGNAL SORTIE;REPERE CAME;FACE CAME;ACTION DIRECTE;ACTION INVERSE;LOI;FERMEE A;OUVERTE A
1;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;VALMET METSO;X;0;0;ND 9102HN ;PH20091057;4 - 20 mA;8 bars max;0;0;0;x;;Lineaire;4 mA;20 mA
7;VALMET METSO;X;0;0;ND 9103 HN;PH11360260;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
8;AMRI KSB;;;X;Régulactair;;0,2 - 1 bar;;;;;;;linéaire;1 bar;0,2 bar
9;AMRI KSB;;;X;;;0,2 - 1 bar;3 à 6 bar;;3;;X;;Linéaire;0,2 bar;1 bar
10;AMRI KSB;0;0;X;0;0;0,6 - 1 bar;12 bar max;0;0;0;X;0;Split Range;12 mA;20 mA
11;METSO;X;X;0;ND9103HN/156;0;4-20Ma;8,5 bars max;0;0;0;X;0;Lineaire;4 Ma;20 Ma
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;AMRI KSB;0;X;X;8013-255;51-51516159;4 - 20 mA;0;0;5;0;0;0;Linéaire;4 mA;20 mA
19;MASONEILAN;0;X;X;8013-255;51-5151722-1;4 - 16 mA;0;0;5;0;0;0;linéaire;4 mA;16 mA
20;MASONEILAN;0;X;X;8013-255;51-51516164;16 - 20 mA;0;0;5;0;X;0;Linéaire;16 mA;20 mA
21;METSO;X;;0;ND9103HN/I52;;4 - 20 mA;3 bars max;0;0;0;X;0;LINEAIRE;4 mA;20 mA
22;METSO;X;;0;ND9103HN/I52;PH19440401;4 - 20 mA;0;0;0;0;0;0;0;4 mA;20 mA
23;EMERSON;0;X;0;AVID ESYCAL;EZ 020000D0B-00-0R2;4 - 20 mA;0;0;0;0;0;0;linéaire;4 mA;20 mA
24;EMERSON;0;X;0;AVID ESYCAL;EZ 020000D0B 00 0R2;4 - 20 mA;0;0;0;0;0;0;Linéaire ;4 mA;20 mA
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;;;;;;;;;;;;;;;;
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;;;;;;;;;;;;;;;;
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;
