ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LOCALE;"     ""Vannes bassins"" circulation";Bassins;030034 AR;6/25/03;EMERSON;1;1;1;TOR;;PAPILLON;2003;100;2003;2103;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LOCALE;"""Vannes bassins"" prise d'échantillon";Bassins;030034 AR;6/25/03;EMERSON;2;2;2;TOR;;PAPILLON;2003;100;2003;2103;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LOCALE;"     ""Vannes bassins"" circulation";Bassins;030034 AR;6/25/03;EMERSON;3;3;3;TOR;;PAPILLON;2003;100;2003;2103;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LOCALE;Appoint d'eau ;Pompes à boues;;;AMRI KSB;4;4;4;TOR;;PAPILLON;2001;100;2001;2101;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;EV01260673;Chasse décanteur;Decanteur;2243AR;11/3/22;TECOFI;5;5;5;TOR;0;Pelle;2022;100;0;2122;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;FCV20;Debit eau decantee;Lavoir;2006AR;2/12/20;VALMET METSO;6;6;6;0;REG;PAPILLON;2020;10;2020;2030;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;FV 01 01 AW610;Débit transport herbes;Cour;0;12/31/99;EMERSON;7;7;7; ;REG;PAPILLON;0;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;FV 01 01 AW526;Niveau bac à herbes;Bac à herbes lavoir;;;AMRI KSB;8;8;8;;REG;PAPILLON;;100;2010;2110;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LOCALE;Niveau bac eau mitrailleuses;Point de nuit;;;AMRI KSB;9;9;9;;REG;PAPILLON;;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cour/Lavoir;2 FV 01 01 AW536;Niveau tremie eau (vanne eau château d'eau);Trémie eau lavoir;0;12/31/99;AMRI KSB;10;10;10;0;REG;PAPILLON;0;100;2003;2103;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;LV01010626;pompes a eaux terreuses;Pompes à eaux terreuses;2217AR;4/13/22;TECOFI;11;11;11;0;REG;Pelle;13/04/2022;100;0;44764;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;0;Rechange pompes a eaux terreuse;Pompe a eaux terreuses;2243AR;11/3/22;TECOFI;12;12;12;0;REG;Pelle;2022;100;0;2122;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;;Vanne accelerateur manuel point fixe 1;Accelerateurs point fixe;1912AR;4/5/19;AMRI KSB;13;13;13;TOR;0;PAPILLON;2019;100;2019;2119;;;;;;;;;;;;;;;;;;;;;
Cour/lavoir;;Vanne accelerateur manuel point fixe 2;Accelerateurs point fixe;1912AR;4/5/19;AMRI KSB;14;14;14;TOR;0;PAPILLON;2019;100;2019;2119;;;;;;;;;;;;;;;;;;;;;
