ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;N° COMMANDE;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;VANNES TOR;VANNES REG;A VOIR EN
1;"     ""Vannes bassins"" circulation";Bassins;1;Cour/lavoir;1;NULL;030034 AR;10;LOCALE;2003;2003;100;PAPILLON;TOR;NULL;2103
2;"""Vannes bassins"" prise d'échantillon";Bassins;2;Cour/lavoir;2;NULL;030034 AR;10;LOCALE;2003;2003;100;PAPILLON;TOR;NULL;2103
3;"     ""Vannes bassins"" circulation";Bassins;3;Cour/lavoir;3;NULL;030034 AR;10;LOCALE;2003;2003;100;PAPILLON;TOR;NULL;2103
4;Appoint d'eau ;Pompes à boues;4;Cour/lavoir;4;NULL;NULL;2;LOCALE;2001;2001;100;PAPILLON;TOR;NULL;2101
5;Chasse décanteur;Decanteur;5;Cour/lavoir;5;NULL;2243AR;24;EV01260673;2022;NULL;100;Pelle;TOR;NULL;2122
6;Debit eau decantee;Lavoir;6;Cour/lavoir;6;6;2006AR;25;FCV20;2020;2020;10;PAPILLON;NULL;REG;2030
7;Débit transport herbes;Cour;7;Cour/lavoir;7;7;NULL;10;FV 01 01 AW610;NULL;2012;100;PAPILLON; ;REG;2112
8;Niveau bac à herbes;Bac à herbes lavoir;8;Cour/lavoir;8;8;NULL;2;FV 01 01 AW526;NULL;2010;100;PAPILLON;NULL;REG;2110
9;Niveau bac eau mitrailleuses;Point de nuit;9;Cour/lavoir;9;9;NULL;2;LOCALE;NULL;2018;100;PAPILLON;NULL;REG;2118
10;Niveau tremie eau (vanne eau château d'eau);Trémie eau lavoir;10;Cour/Lavoir;10;10;NULL;2;2 FV 01 01 AW536;NULL;2003;100;PAPILLON;NULL;REG;2103
11;pompes a eaux terreuses;Pompes à eaux terreuses;11;Cour/lavoir;11;11;2217AR;24;LV01010626;13/04/2022;NULL;100;Pelle;NULL;REG;44764
12;Rechange pompes a eaux terreuse;Pompe a eaux terreuses;12;Cour/lavoir;12;NULL;2243AR;24;NULL;2022;NULL;100;Pelle;NULL;REG;2122
13;Vanne accelerateur manuel point fixe 1;Accelerateurs point fixe;13;Cour/lavoir;13;NULL;1912AR;2;NULL;2019;2019;100;PAPILLON;TOR;NULL;2119
14;Vanne accelerateur manuel point fixe 2;Accelerateurs point fixe;14;Cour/lavoir;14;NULL;1912AR;2;NULL;2019;2019;100;PAPILLON;TOR;NULL;2119
15;Vanne accelerateur manuel point fixe 3;Accelerateurs point fixe;15;Cour/lavoir;15;NULL;1912AR;2;NULL;2019;2019;100;PAPILLON;TOR;NULL;2119
16;Vanne alimentation point de jour;Point de nuit;16;Cour/lavoir;16;NULL;2206AR;25;EV01010555;2022;NULL;10;PAPILLON;TOR;NULL;2032
17;Vanne alimentation point de nuit;Point de nuit;17;Cour/lavoir;17;NULL;2206AR;25;EV01010554;2022;NULL;10;PAPILLON;TOR;NULL;2032
18;Air de refroidissement;Sécheur à sucre;18;Cristallisation;18;18;13003 DT;18;TV 01 22 0598;2013;2013;100;OPERCULE;NULL;REG;2113
19;Air de séchage eau chaude;Sécheur à sucre;19;Cristallisation;19;19;13003 DT;18;TV 01 22 0592;2013;2013;100;OPERCULE;NULL;REG;2113
20;Air de séchage vapeur;Sécheur à sucre;20;Cristallisation;20;20;13003 DT;18;TV 02 22 0594;2013;2013;100;OPERCULE;NULL;REG;2113
21;Alimentation masse cuite 2ème jet BMA K 3300 n°1;Turbines de 2ème jet;21;Cristallisation;21;21;NULL;3;NULL;2012;2020;5;PAPILLON; ;REG;2025
22;Alimentation masse cuite 2ème jet BMA K 3300 n°2;Turbines de 2ème jet;22;Cristallisation;22;22;NULL;3;FV 11 22 0702;2012;2020;5;PAPILLON; ;REG;2025
23;Alimentation masse cuite turbine affinage K3300 N°1;Turbines affinage;23;Cristallisation;23;23;15237DT;3;LV11220712;2015;2020;5;PAPILLON;NULL;REG;2025
24;Alimentation masse cuite turbine affinage K3300 N°2;Turbines affinage;24;Cristallisation;24;24;15237DT;3;LV11220714;2015;2020;5;PAPILLON;NULL;REG;2025
25;Alimentation masse cuite turbine de 3ème jet K3300;Turbines de 3ème jet;25;Cristallisation;25;NULL;NULL;NULL;NULL;NULL;2016;100;PELLE;NULL;REG;2116
26;Alimentation rapide BMA K3300 n°2;Turbines de 2ème jet;26;Cristallisation;26;NULL;1233AR;2;NULL;2012;2016;10;PAPILLON;TOR;NULL;2026
27;Alimentation rapide cuite de 1er jet n°3;Cuites de 1er jet;27;Cristallisation;27;NULL;1262AR;10;EV 07 22 004.2;2012;2012;100;PAPILLON;TOR;NULL;2112
28;Alimentation rapide cuite de 1er jet n°4;Cuites de 1er jet;28;Cristallisation;28;NULL;1262AR;10;EV 07 22 008.2;2012;2012;100;PAPILLON;TOR;NULL;2112
29;Alimentation rapide cuite de 1er jet n°5;Cuites de 1er jet;29;Cristallisation;29;NULL;1262AR;10;EV 07 22 010.2;2012;2012;100;PAPILLON;TOR;NULL;2112
30;Alimentation rapide cuite de 1er jet n°6;Cuites de 1er jet;30;Cristallisation;30;NULL;1262AR;10;EV 07 22 012.3;2012;2017;100;PAPILLON;TOR; ;2117
31;Alimentation rapide cuite de 2ème jet n°1;Cuites de 2ème jet;31;Cristallisation;31;NULL;1756AR;10;EV 07 22 020.2;2017;2018;100;PAPILLON;TOR;NULL;2118
32;Alimentation rapide cuite de 2ème jet n°2;Cuites de 2ème jet;32;Cristallisation;32;NULL;1756AR;10;EV 07 22 022.2;2017;2018;100;PAPILLON;TOR;NULL;2118
33;Alimentation rapide cuite de 2ème jet n°3;cuites de 2ème jet;33;Cristallisation;33;NULL;030030 AR;2;EV 07 03 0169;2003;2014;100;PAPILLON;TOR;NULL;2114
34;Alimentation rapide cuite de 3ème jet n°1;Cuites de 3ème jet;34;Cristallisation;34;NULL;1756AR;10;EV 07 22 026.2;2017;2018;100;PAPILLON;TOR;NULL;2118
35;Alimentation rapide cuite de 3ème jet n°2;Cuites de 3ème jet;35;Cristallisation;35;NULL;1756AR;10;EV 07 22 028.2;2017;2018;100;PAPILLON;TOR;NULL;2118
36;Alimentation rapide turbine affinage n°1;Turbines affinage;36;Cristallisation;36;NULL;1233AR;2;EV11 03 0705;2012;2016;100;PAPILLON;TOR;NULL;2116
37;Alimentation rapide turbine affinage n°2;Turbines affinage;37;Cristallisation;37;NULL;0910AR;2;EV11 03 0714;2009;2016;100;PAPILLON;TOR;NULL;2116
38;Alimentation rapide turbine de 2ème jet n°1;Turbines de 2ème jet;38;Cristallisation;38;NULL;0910AR;2;NULL;2009;2016;10;PAPILLON;TOR;NULL;2026
39;Alimentation rapide turbine de 2ème jet n°2;Turbines de 2ème jet;39;Cristallisation;39;NULL;0910AR;2;NULL;2009;2016;10;PAPILLON;TOR;NULL;2026
